company,id,city,dep,sec
ETİ Makine Sanayi ve Ticaret A.Ş.,4204,Eskişehir,IE ME,Sanayi
Bigdata Bilişim,6014,Ankara,CS,IT
"2RYA Automation, Information Commination Technology Ltd. Co.",4991,Ankara,EE,"Automative, consulting"
8BİT YAPAY ZEKA VE GÖRÜNTÜ İŞLEME TEKNOLOJİLERİ,4229,Ankara,CS,
Altair Yazılım & Savunma Sanayii Teknolojileri A.Ş.,4481,Ankara,CS,Web Tabanlı Teknolojiler
BİRBEN MAKİNA İMALAT İTHALAT İHRACAT  SAN. VE TİC.LTD.ŞTİ.,4887,Ankara,ME,Mühendislik
CAN CONTA VE HIRDAVAT SANAYİ,5597,Eskişehir,IE,
Çimko Çimento ve Beton Sanayi A.Ş,6185,Ankara,IE,
DB MARS Bilişim Teknolojileri ve Savunma Sanayi Tic. Ltd. Şti,5702,Ankara,EE,Defense Industry
EAE ELEKTRİK A.Ş,3562,İstanbul,EE,Elektrik
Fauji Fertilizer Company Limited,4490,Mirpur Mathelo,ME,Fertilizer
"Florida International University, Department of Electrical and Computer Engineering",4135,Florida,CS,Computer Engineering
"Florida International University, Department of Electrical and Computer Engineering",4685,Miami,,"EE, CS"
GMT Genel Makina Tasarım İmalat ve Pazarlama San. ve Tic. Ltd. Şti,2931,Ankara,IE ME,"makine mühendisliği,elektrik elektronik mühendisliği,bilgisayar mühendisliği"
IC İÇTAŞ ENERJİ,3735,Ankara,IE,Enerji
Kanije Bilişim Yazılım Hizmetleri San. Tic. Ltd.Şt,4302,İstanbul,CS,
KARA KUVVETLERİ 4'ÜNCÜ ANA BAKIM MERKEZİ KOMUTANLIĞI,3549,Ankara,IE,Askeri
Kerevitaş Food Industry and Trade Inc.,6225,Ankara,IE,"Manufacturing
Production"
Kozanoğlu Kozmaksan Ltd.Şti,3980,Ankara,IE,ÜRETİM
Mert Teknik Fabrika Malzemeleri Tic. ve San. A.Ş.,6006,Adana,ME,
Mitaş Enerji ve Madeni İnşaat İşleri Türk A.Ş.,4548,Ankara,EE ME,Üretim
Mitaş Enerji ve Madeni İnşaat İşleri Türk A.Ş.,6237,Ankara,IE,Üretim
Novartis Sağlık Gıda ve Tarım Ürünleri San. Ve Tic. A.Ş,4062,İstanbul,IE,Pharmaceutical Industry
Pegasus Danışmanlık Mühendislik Bilişim Telekom San.ve Tic.Ltd.Şti,4432,Ankara,CS,Telecommunications
PIRELLI TÜRKİYE,4802,Kocaeli,CS,"Lastik, Arge"
UDEA Elektronik A.Ş.,5810,Ankara,EE ME,Wireless Technology
Valf Sanayii A.Ş.,4380,Manisa,ME,
Vegamar Denizcilik Ve Taşımacılık Tic.Ltd.Şti.,4597,İstanbul,IE,Lojistik
(A6 Digital) Super Nova Reklam Tanitim Yayin Elektronik Hizm. ve Tic. LTD.STI,4823,İstanbul,CS,
07 PANELSAN,4202,Antalya,EE,Electric-Electronic
1001 Yazılım Donanım San. ve Tic A.Ş.,5666,Ankara,CS,Mobile Application Development
116 Inc.,4430,Ankara,CS,Software Product Development and Consultancy
1A Enerji,3086,Ankara,IE,Enerji
2 B Kalıp,5162,Manisa,ME,Üretim Tasarım
20 Satır Yazılım Evi,4610,İstanbul,CS,Computer Software
2DK CASUAL GAME,2631,İstanbul,IE,
2G Havacılık Elektronik,5173,Ankara,EE,Savunma Sanayi
﻿2U INFORMATION TECHNOLOGIES,1244,İstanbul,CS,BİLİŞİM
3A Bilişm,2575,Konya,CS,BİLİŞM
3D BİLİŞİM TEKNOLOJİLERİ DANIŞMAN. VE TEKNİK SERV.,1245,İstanbul,EE,BİLİŞİM
3D TIM,3577,Ankara,EE,Elektrik-Elektronik
3D TIM,3669,Ankara,EE,EEE
3Digi,4440,Ankara,CS,
3E - Electro Optical Systems,4989,Ankara,,Defence Industries
