address,info,sector,name,country,city,phone,fax,site
Organize Sanayi Bölgesi 19. Cad. No:18 ESKİŞEHİR,"1978 Yılında da ETİ Makine, ETİ Şirketler Grubu'nun gıda üretim tesislerindeki ekipman ve makine ihtiyaçlarını karşılamak görevini üstlenen bir anonim şirket olarak resmen kurulmuştur.",Sanayi,ETİ Makine Sanayi ve Ticaret A.Ş.,Türkiye,Eskişehir,+90 (222) 236 00 31,+90 (222) 236 06 07,http://www.etietieti.com/kurumsal_sirketler.aspx?m
"Ahlatlıbel Mah. 1824. Cad No:2 06805 Çankaya, Ankara / Türkiye",Savunma Snayi Şirketi,Web Tabanlı Teknolojiler,Altair Yazılım & Savunma Sanayii Teknolojileri A.Ş.,Türkiye,Ankara,T. +90 312 440 26 62,,http://www.altair-st.com.tr/tr/
"İvedik Organize Sanayi Bölgesi, Ağaç İşleri Sanayi Sitesi 1354. Cad.
1358. sok. No:38 İvedik / ANKARA","üRETİLEN üRÜNLER:
-Haberleşme sistemi mekanik üretimleri
-Telsiz mekanik üretimleri
-Radar sistem parçaları mekanik parçaları
-Termal kamera sistemi  mekanik parçaları
-Lazer sistem mekanik parçaları
-Gece görüş cihazlarının  mekanik parçaları
-Aselfılır 200 Termal görüntüleme sistemi  mekanik parçaları
-Aselfılır 300 Termal görüntüleme sistemi mekanik parçaları
-Termal görüş sistemleri  mekanik parçaları
-Aselpod hedefleme sistemi mekanik parçaları
-Kartalgözü atış kontrol sistemi mekanik parçaları
-Şahingözü Elektro optik sensör sistemi mekanik parçaları
-Asır termal görüntüleme sistemi mekanik parçaları
-Çok darbeli laser mesafe ölçüm cihazları mekanik parçaları
-Engerek lazer mesafe ölçüm cihazları mekanik parçaları
-Tank atış kontrol sistem mekanik parçaları
-Gündüz görüş kamerası mekanik parçaları
-Deniz navigasyon cihazları mekanik parçaları
-Lazer ikaz alıcı sistem mekanik parçaları
-Hava savunma sistemleri mekanik parçaları
-Lazer güdümlü bomba kiti mekanik parçaları
-Helikopter ve uçak parçaları mekanik parçaları",Mühendislik,BİRBEN MAKİNA İMALAT İTHALAT İHRACAT  SAN. VE TİC.LTD.ŞTİ.,Türkiye,Ankara,(0 312) 395 88 38-39,(0 312) 395 32 60,-
"Cyberpark, Cyberplaza B blok Kat 2 No:227, Bilkent 06800 ANKARA",8bit is a startup company specialized in providing computer vision and artificial intelligence solutions.,,8BİT YAPAY ZEKA VE GÖRÜNTÜ İŞLEME TEKNOLOJİLERİ,Türkiye,Ankara,,,
3.Organize Sanayi Bölgesi Başpınar / GAZİANTEP,"Günümüzde kullanım alanı yaygınlaşan hazır beton, imalatta ve kullanımda ekonomi, güvenlik yönleriyle, büyük bir bölümü deprem kuşağında bulanan ülkemizde ön plana çıkmaktadır. Çimko Beton tesislerinin tümünde C8/10, C12/15, C16/20, C20/25, C25/30, C30/37, C35/45, C40/50 sınıflarında üretim yapılmaktadır. Daha yüksek mukavemetli ve özellikli betonların üretimi için AR-GE çalışmalarına devam edilmektedir.",,Çimko Çimento ve Beton Sanayi A.Ş,Türkiye,Ankara,(0.342) 328 97 70,(0.342) 328 97 73,http://www.cimko.com.tr/
Organize sanayi bölgesi 10. Cadde No: 37 / ESKİŞEHİR,"Can Conta, that was established in 1980 and started the production of automotive seals,nowadays produces about 3,5 million compressor parts, 5 million burner covers, quarry faces and grids per year and is one of the largest Arcelik’s sub industy companies",,CAN CONTA VE HIRDAVAT SANAYİ,Türkiye,Eskişehir,,,http://www.canconta.com.tr/
"Korkutreis Mah. 
Strazburg Cad. 31/19 
Kızılay Ankara",Using computer science techniques to resolve the criminal events.,IT,Bigdata Bilişim,Türkiye,Ankara,05054382827,,http://www.bigdata.com.tr
"Üniversiteler Mah.1605 Cad. Vakıf Binası No:3/1 Çankaya/Ankara
info@tworya.com","2RYA, a competent partner to the automotive industry, simulate and develops powertrain systems and variouus simulation methods.
 
2RYA also offers consulting service and products systems for powertrain and vehicle testing.","Automative, consulting","2RYA Automation, Information Commination Technology Ltd. Co.",Türkiye,Ankara,+90 (312) 265 00 40,+90 (312) 265 00 40,https://www.tworya.com/
"Florida International University
10555 W Flagler St
EC 3900
MIAMI, Fl 33174",The Electrical and Computer Engineering Department encompasses a broad range of research and educational interests. It is the policy of the department to involve each faculty member in a balanced combination of research and teaching so as to fully benefit the students.,Computer Engineering,"Florida International University, Department of Electrical and Computer Engineering",United States,Florida,(305) 348-2807,,https://ece.fiu.edu
Ankara Teknoloji Geliştirme Bölgesi Cyberpark Cyberplaza B Blok No: B218 06800 Bilkent Çankaya/Ankara,"DB MARS Bilişim Teknolojileri ve Savunma Sanayi Ticaret Limited Şirketi,  Ankara Teknoloji Geliştirme Bölgesi içerisindeki Teknopark Yerleşkesi’nde bulunan Bilkent Cyberpark içerisinde;  2014 yılında kurulmuştur.

Firmanın temel hedefi, güvenilir bir iş ortağı olarak bilişim teknolojileri ve savunma sanayi sektöründe hizmet vermektir.

Örneğin iha, akıllı mobil otonom robotik sistemler, oomasyon sistemleri vs",Defense Industry,DB MARS Bilişim Teknolojileri ve Savunma Sanayi Tic. Ltd. Şti,Türkiye,Ankara,+90 312 2650556,,http://www.dbmars.com/contact-us/
Kervangeçmez sokak Dilan sitesi b 2 blok d:8 mecidiyeköy- şişli / istanbul,"Siber güvenlik hizmetleri; güvenlikli web site barındırma ve hosting hizmetleri, lokal network veri güvenlik hizmetleri, SEO ve SEM hizmetleri",,Kanije Bilişim Yazılım Hizmetleri San. Tic. Ltd.Şt,Türkiye,İstanbul,+90 850 304 7731,,http://kanije.com.tr/
Akçaburgaz Mah. 119. Sok. No:10 34510 Esenyurt - İstanbul / TÜRKİYE,"EAE Elektrik A.Ş’nin faaliyet gösterdiği alanlar:

    Busbar Enerji Dağıtım Sistemleri,  
    Aydınlatma Busbar Sistemleri, 
    Kablo Kanal Sistemleri, 
    Döşeme Altı Kanal Sistemleri, 
    Trolley Busbar Sistemleri’dir.

EAE Elektrik A.Ş. üretimlerini, Esenyurt’ta bulunan, şirket merkezinin de içinde yer aldığı 4 adet fabrikasında sürdürmektedir.

EAE 1-2 fabrikalarında son teknoloji ekipmanlarıyla yurtiçi ve yurtdışı piyasaları için ‘’Busbar Enerji Dağıtım Sistemleri’’ EAE 3-4 fabrikalarında ise ‘’Kablo Taşıma Sistemleri’’ üretimi yapılmaktadır.

Türkiye de çok geniş bir bayi ve yetkili satıcı sayısına sahip olan EAE Elektrik, ürünlerini bugün 65'i aşan ülkeye ihraç etmektedir.

EAE Elektrik ürünlerinin kullanım alanları arasında; sanayi tesisleri, tekstil sektörü, iş merkezleri, otomotiv sektörü, alışveriş merkezleri, yüksek katlı binalar, fabrikalar ve ofisler yer almaktadır.",Elektrik,EAE ELEKTRİK A.Ş,Türkiye,İstanbul,0212 - 866 20 00,0212 - 886 24 20,http://www.eae.com.tr/home/tr-TR/Default.aspx
"Technical Training Center, Fauji Fertilizer Company Limited, Mirpur Mathelo, District Ghotki (0723) 665100 - 10",Fauji Fertilizer Company Limited (FFC) is the largest chemical fertilizer producer of Pakistan with biggest market share in the country.,Fertilizer,Fauji Fertilizer Company Limited,Pakistan,Mirpur Mathelo,(051) 111-332-111,,http://www.ffc.com.pk/
"Florida International University
10555 W Flagler St
EC 3900
MIAMI, Fl 33174",The Electrical and Computer Engineering Department encompasses a broad range of research and educational interests. It is the policy of the department to involve each faculty member in a balanced combination of research and teaching so as to fully benefit the students.,"EE, CS","Florida International University, Department of Electrical and Computer Engineering",United States Of America,Miami,(305) 348-2807,,https://ece.fiu.edu
"Başkent OSB, 23. Cad. No : 8 Malıköy, Sincan 
Ankara  06909  Türkiye","Uluslararası standartlarda sahip olduğumuz ISO 9001/2008 Kalite ve Güvence Sistemi, CE belgesi ve çağdaş teknoloji ile üretim yapan Genel Makina Tasarım;
Ürünlerini tasarımdan başlayarak anahtar teslimi safhasına kadar, her kademede ve daha sonraki bakım, yedek parça ve benzeri hizmetleri, müşteri talepleri doğrultusunda titizlik ve sorumlulukla sunmaktadır.","makine mühendisliği,elektrik elektronik mühendisliği,bilgisayar mühendisliği",GMT Genel Makina Tasarım İmalat ve Pazarlama San. ve Tic. Ltd. Şti,Türkiye,Ankara,+90 (312) 640 16 30,+90 (312) 640 16 34,www.genelmakinatasarim.com.tr
